,place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
200,삼광사,7.0,0.0,24.0,240.0,33.0,90.0,285.0,86.0,199.0,5.0,1078
201,삼성궁,0.0,0.0,5.0,3.0,12.0,0.0,16.0,1.0,1.0,1.0,2079
202,삼성산성지,12.0,0.0,30.0,240.0,7.0,93.0,285.0,0.0,203.0,47.0,82
203,삼지내마을,0.0,0.0,0.0,66.0,9.0,1.0,40.0,1.0,12.0,2.0,116
204,상원사,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,624
205,생초국제조각공원,3.0,0.0,18.0,35.0,3.0,3.0,32.0,1.0,5.0,1.0,168
206,서봉사(대구),0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
207,서산 마애여래삼존상,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463
208,서삼릉희릉,10.0,1.0,36.0,240.0,3.0,20.0,203.0,3.0,105.0,0.0,0
209,서오릉 ,4.0,0.0,32.0,240.0,1.0,30.0,119.0,1.0,49.0,3.0,565
210,서울 경교장,30.0,36.0,20.0,238.0,236.0,133.0,285.0,239.0,237.0,0.0,1116
211,서울 구 러시아공사관,29.0,36.0,60.0,237.0,237.0,222.0,285.0,239.0,237.0,147.0,114
212,서울 구 벨기에영사관,27.0,1.0,50.0,240.0,31.0,222.0,285.0,70.0,237.0,50.0,3
213,서울 명동성당,28.0,36.0,2.0,237.0,237.0,221.0,285.0,237.0,237.0,178.0,1734
214,서울 석촌동 고분군,43.0,5.0,1.0,240.0,103.0,214.0,285.0,103.0,237.0,73.0,27
215,서울 선릉과 정릉,30.0,5.0,0.0,237.0,174.0,225.0,285.0,234.0,237.0,78.0,923
216,서울 약현성당,28.0,20.0,60.0,237.0,237.0,221.0,285.0,236.0,237.0,145.0,380
217,석남사,0.0,0.0,13.0,10.0,14.0,0.0,38.0,0.0,3.0,2.0,565
218,선비촌,0.0,0.0,7.0,1.0,12.0,0.0,14.0,2.0,3.0,1.0,111
219,선암사,0.0,4.0,14.0,10.0,16.0,0.0,14.0,0.0,4.0,4.0,1760
220,선암사,0.0,4.0,14.0,10.0,16.0,0.0,14.0,0.0,4.0,4.0,1770
221,선운사(고창),0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
222,선진리성,1.0,0.0,2.0,6.0,3.0,0.0,24.0,0.0,3.0,1.0,295
223,설악산 권금성,1.0,2.0,15.0,10.0,3.0,0.0,17.0,1.0,5.0,1.0,0
224,성경전래지 기념관,0.0,6.0,4.0,9.0,21.0,0.0,24.0,1.0,2.0,6.0,94
225,성락원,16.0,8.0,47.0,237.0,96.0,223.0,285.0,76.0,237.0,60.0,38
226,성륜사,0.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,32
227,성읍민속마을,1.0,3.0,18.0,46.0,23.0,0.0,80.0,3.0,14.0,2.0,918
228,성주 한개마을,0.0,0.0,2.0,14.0,2.0,0.0,5.0,0.0,1.0,1.0,86
229,성화사,8.0,3.0,47.0,240.0,9.0,48.0,285.0,16.0,162.0,16.0,0
230,소수서원,0.0,2.0,20.0,26.0,10.0,0.0,23.0,0.0,2.0,8.0,827
231,속초 조양동선사유적,2.0,6.0,20.0,239.0,197.0,165.0,304.0,13.0,210.0,2.0,33
232,솔뫼성지,4.0,0.0,2.0,232.0,10.0,17.0,119.0,1.0,19.0,2.0,572
233,송광사,0.0,1.0,11.0,3.0,12.0,0.0,12.0,1.0,3.0,3.0,1042
234,수국사(서울),0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
235,수덕사,0.0,1.0,20.0,21.0,5.0,0.0,49.0,1.0,7.0,3.0,1652
236,수리사(경기),0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
237,수리치골 성지,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
238,수성당,13.0,0.0,20.0,225.0,64.0,211.0,270.0,55.0,222.0,5.0,0
239,수승대,1.0,2.0,20.0,28.0,38.0,1.0,29.0,2.0,4.0,6.0,62
240,수어장대,1.0,1.0,20.0,22.0,2.0,3.0,87.0,2.0,18.0,10.0,212
